first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
David,Ortiz,David Ortiz,DH,32.0,0.0,32.0,32.0,9.7,0.0,3.8,45.5,,,45.5,,yes,5573,4738,1367,348,13,320,769,23,42,0.289,0.387,0.570,145,,,,,,,,,,,,active
Reggie,Smith,Reggie Smith,CF,32.6,0.0,32.6,32.6,11.8,0.0,0.2,44.6,,,44.6,,yes,4265,3780,1064,204,33,149,425,20,33,0.281,0.354,0.471,129,,,,,,,,,,,,hof,2008
Johnny,Pesky,Johnny Pesky,SS,31.1,0.0,31.1,32.7,10.1,0.9,-0.3,43.4,,,43.4,,yes,4675,4018,1267,194,46,13,566,22,0,0.315,0.403,0.396,110,,,,,,,,,,,,hof,1995
Manny,Ramirez,Manny Ramirez,LF,31.2,0.0,31.2,31.2,9.2,0.0,2.3,42.7,,,42.7,,yes,4682,3953,1232,256,7,274,636,56,37,0.312,0.411,0.588,155,,,,,,,,,,,,active
Jimmy,Collins,Jimmy Collins,3B,26.6,0.0,26.6,29.8,10.5,1.1,0.1,41.5,,,41.5,,yes,3224,2972,881,171,65,25,160,18,0,0.296,0.336,0.423,124,,,,,,,,,,,,hof,1995
Wes,Ferrell,Wes Ferrell,P,5.1,15.9,21.0,22.1,12.5,4.6,0.0,39.2,,0.068,39.7,yes,yes,462,396,122,17,2,17,49,0,0,0.308,0.384,0.490,115,62,40,1,877.7,982,401,310,314,45,4.11,120,hof,2008
Kevin,Youkilis,Kevin Youkilis,1B,29.5,0.0,29.5,29.5,10.1,0.0,0.0,39.6,,,39.6,,yes,3809,3206,927,232,16,129,480,82,41,0.289,0.391,0.492,127,,,,,,,,,,,,active
Dom,DiMaggio,Dom DiMaggio,CF,31.9,0.0,31.9,33.6,5.9,0.0,-0.1,39.4,,,39.4,,yes,6478,5640,1680,308,57,87,750,31,0,0.298,0.383,0.419,110,,,,,,,,,,,,hof,1995
Larry,Gardner,Larry Gardner,3B,27.8,0.0,27.8,29.2,5.7,0.0,2.2,37.1,,,37.1,,yes,4511,3919,1106,151,87,16,388,22,0,0.282,0.350,0.377,115,,,,,,,,,,,,hof,2000
Freddy,Parent,Freddy Parent,SS,25.1,0.0,25.1,28.0,8.2,0.3,0.5,37.0,,,37.0,,yes,4240,3846,1051,156,63,19,206,40,0,0.273,0.317,0.361,103
